中断时长(s),位置RMSE-INS(m),位置RMSE-LSTM(m),位置提升(%),速度RMSE-INS(m/s),速度RMSE-LSTM(m/s),航向提升(%)
30,24.0477721594084,13.848373554033,42.4130706901471,2.17387530276318,0.628485516834989,0.3274901131196
50,82.1971941131494,13.2208342897505,83.9157109529175,5.30726838935943,1.0437438214616,0.474228247379771
70,208.545719246253,11.6332601325057,94.4217219252681,9.96043532544759,0.978781456128367,-0.208041777460366
